INSERT INTO LGINVOICE VALUES (960, '30-APR-11', 458, 29.18, 83792);
INSERT INTO LGINVOICE VALUES (961, '30-APR-11', 163, 40.77, 84392);
INSERT INTO LGINVOICE VALUES (963, '30-APR-11', 335, 305.46, 83820);
INSERT INTO LGINVOICE VALUES (964, '30-APR-11', 427, 85.98, 84191);
INSERT INTO LGINVOICE VALUES (965, '01-MAY-11', 459, 236.93, 84078);
INSERT INTO LGINVOICE VALUES (966, '01-MAY-11', 460, 155.96, 84078);
INSERT INTO LGINVOICE VALUES (967, '01-MAY-11', 151, 53.55, 84306);
INSERT INTO LGINVOICE VALUES (969, '01-MAY-11', 400, 35.97, 84334);
INSERT INTO LGINVOICE VALUES (970, '01-MAY-11', 213, 29.78, 84392);
INSERT INTO LGINVOICE VALUES (971, '01-MAY-11', 423, 270.88, 84364);
INSERT INTO LGINVOICE VALUES (972, '01-MAY-11', 461, 356.22, 83964);
INSERT INTO LGINVOICE VALUES (973, '02-MAY-11', 206, 183.29, 83964);
INSERT INTO LGINVOICE VALUES (975, '02-MAY-11', 335, 115.94, 84049);
INSERT INTO LGINVOICE VALUES (976, '02-MAY-11', 382, 60.17, 84049);
INSERT INTO LGINVOICE VALUES (977, '02-MAY-11', 105, 245.38, 83763);
INSERT INTO LGINVOICE VALUES (978, '02-MAY-11', 462, 97.82, 84021);
INSERT INTO LGINVOICE VALUES (979, '02-MAY-11', 329, 164.25, 83936);
INSERT INTO LGINVOICE VALUES (981, '02-MAY-11', 305, 286.46, 84191);
INSERT INTO LGINVOICE VALUES (982, '02-MAY-11', 463, 61.95, 83878);
INSERT INTO LGINVOICE VALUES (983, '03-MAY-11', 424, 293.34, 83565);
INSERT INTO LGINVOICE VALUES (984, '03-MAY-11', 134, 252.57, 84163);
INSERT INTO LGINVOICE VALUES (986, '03-MAY-11', 159, 221.85, 83792);
INSERT INTO LGINVOICE VALUES (987, '03-MAY-11', 100, 305.83, 84276);
INSERT INTO LGINVOICE VALUES (988, '03-MAY-11', 377, 161.07, 84276);
INSERT INTO LGINVOICE VALUES (989, '03-MAY-11', 312, 141.89, 83763);
INSERT INTO LGINVOICE VALUES (990, '03-MAY-11', 302, 127.73, 84078);
INSERT INTO LGINVOICE VALUES (992, '04-MAY-11', 458, 293.83, 84078);
INSERT INTO LGINVOICE VALUES (993, '04-MAY-11', 207, 472.35, 83906);
INSERT INTO LGINVOICE VALUES (994, '04-MAY-11', 465, 277.04, 84049);
INSERT INTO LGINVOICE VALUES (995, '04-MAY-11', 466, 23.59, 84248);
INSERT INTO LGINVOICE VALUES (996, '04-MAY-11', 467, 509.04, 83820);
INSERT INTO LGINVOICE VALUES (998, '04-MAY-11', 321, 92.1, 83677);
INSERT INTO LGINVOICE VALUES (999, '04-MAY-11', 415, 269.22, 83509);
INSERT INTO LGINVOICE VALUES (1000, '05-MAY-11', 153, 114.95, 83964);
INSERT INTO LGINVOICE VALUES (1001, '05-MAY-11', 335, 127.95, 84364);
INSERT INTO LGINVOICE VALUES (1002, '05-MAY-11', 468, 262.89, 84276);
INSERT INTO LGINVOICE VALUES (1004, '05-MAY-11', 469, 103.47, 83593);
INSERT INTO LGINVOICE VALUES (1005, '05-MAY-11', 470, 495.32, 84106);
INSERT INTO LGINVOICE VALUES (1006, '05-MAY-11', 88, 179.21, 83936);
INSERT INTO LGINVOICE VALUES (1007, '05-MAY-11', 471, 258.92, 84134);
INSERT INTO LGINVOICE VALUES (1008, '05-MAY-11', 262, 239.55, 84049);
INSERT INTO LGINVOICE VALUES (1010, '06-MAY-11', 193, 103.94, 83964);
INSERT INTO LGINVOICE VALUES (1011, '06-MAY-11', 472, 187.27, 83906);
INSERT INTO LGINVOICE VALUES (1012, '06-MAY-11', 186, 27.98, 83820);
